note_id,overall_quality,engagement_score,professionalism,completeness
note_0001,0.457,0.229,0.696,0.912
note_0002,0.497,0.367,0.762,0.318
note_0003,0.606,0.598,0.594,0.54
note_0004,0.652,0.636,0.59,0.736
note_0005,0.494,0.585,0.202,0.599
note_0006,0.525,0.686,0.756,0.732
note_0007,0.641,0.647,0.498,0.605
note_0008,0.453,0.39,0.747,0.618
note_0009,0.675,0.723,0.527,0.599
note_0010,0.633,0.415,0.903,0.898
note_0011,0.371,0.125,0.375,0.315
note_0012,0.62,0.082,0.818,0.76
note_0013,0.555,0.696,0.705,0.638
note_0014,0.708,0.868,0.539,0.281
note_0015,0.681,0.659,0.619,0.26
note_0016,0.72,0.367,0.771,0.925
note_0017,0.662,0.416,0.47,0.784
note_0018,0.552,0.354,0.186,0.708
note_0019,0.596,0.562,0.684,0.791
note_0020,0.71,0.62,0.68,0.546
note_0021,0.406,0.305,0.204,0.679
note_0022,0.487,0.545,0.427,0.216
note_0023,0.596,0.463,0.773,0.71
note_0024,0.456,0.265,0.5,0.346
note_0025,0.43,0.158,0.925,0.437
note_0026,0.65,0.764,0.457,0.688
note_0027,0.624,0.686,0.656,0.694
note_0028,0.45,0.654,0.773,0.334
note_0029,0.463,0.256,0.97,0.15
note_0030,0.486,0.283,0.715,0.669
note_0031,0.64,0.757,0.764,0.825
note_0032,0.514,0.293,0.134,0.814
note_0033,0.68,0.394,0.401,0.834
note_0034,0.342,0.313,0.44,0.623
note_0035,0.772,0.682,0.684,0.826
note_0036,0.613,0.229,0.787,0.831
note_0037,0.647,0.566,0.712,0.289
note_0038,0.76,0.958,0.532,0.497
note_0039,0.711,0.824,0.444,0.599
note_0040,0.581,0.254,0.743,0.838
note_0041,0.401,0.24,0.247,0.061
note_0042,0.7,0.321,0.605,0.901
note_0043,0.538,0.568,0.688,0.78
note_0044,0.476,0.589,0.486,0.462
note_0045,0.616,0.731,0.806,0.23
note_0046,0.581,0.555,0.5,0.826
note_0047,0.519,0.239,0.793,0.902
note_0048,0.448,0.377,0.563,0.609
note_0049,0.343,0.54,0.269,0.438
note_0050,0.669,0.746,0.608,0.858
note_0051,0.726,0.691,0.502,0.399
note_0052,0.348,0.204,0.316,0.547
note_0053,0.588,0.441,0.568,0.738
note_0054,0.665,0.539,0.785,0.603
note_0055,0.557,0.467,0.636,0.415
note_0056,0.806,0.84,0.502,0.651
note_0057,0.463,0.339,0.863,0.25
note_0058,0.446,0.283,0.732,0.589
note_0059,0.672,0.367,0.726,0.522
note_0060,0.492,0.386,0.509,0.781
note_0061,0.701,0.643,0.721,0.572
note_0062,0.466,0.467,0.419,0.835
note_0063,0.478,0.194,0.26,0.68
note_0064,0.53,0.402,0.864,0.702
note_0065,0.618,0.469,0.739,0.783
note_0066,0.557,0.74,0.596,0.261
note_0067,0.326,0.029,0.829,0.558
note_0068,0.506,0.291,0.665,0.659
note_0069,0.601,0.563,0.469,0.687
note_0070,0.476,0.236,0.489,0.328
note_0071,0.597,0.669,0.445,0.221
note_0072,0.498,0.572,0.679,0.318
note_0073,0.648,0.701,0.578,0.443
note_0074,0.499,0.073,0.701,0.612
note_0075,0.675,0.562,0.136,0.647
note_0076,0.691,0.695,0.666,0.685
note_0077,0.545,0.483,0.624,0.671
note_0078,0.425,0.559,0.482,0.394
note_0079,0.528,0.262,0.408,0.496
note_0080,0.624,0.645,0.334,0.37
note_0081,0.48,0.437,0.431,0.362
note_0082,0.571,0.384,0.461,0.771
note_0083,0.332,0.265,0.609,0.134
note_0084,0.572,0.504,0.832,0.114
note_0085,0.431,0.468,0.784,0.721
note_0086,0.41,0.162,0.547,0.506
note_0087,0.533,0.169,0.425,0.488
note_0088,0.532,0.491,0.546,0.314
note_0089,0.436,0.114,0.63,0.601
note_0090,0.615,0.699,0.245,0.395
note_0091,0.59,0.604,0.761,0.876
note_0092,0.352,0.08,0.739,0.637
note_0093,0.685,0.816,0.3,0.315
note_0094,0.699,0.491,0.443,0.822
note_0095,0.798,0.66,0.618,0.824
note_0096,0.633,0.431,0.69,0.42
note_0097,0.374,0.503,0.716,0.43
note_0098,0.48,0.452,0.674,0.403
note_0099,0.643,0.646,0.697,0.514
note_0100,0.602,0.53,0.921,0.339
note_0101,0.614,0.464,0.968,0.396
note_0102,0.601,0.394,0.777,0.673
note_0103,0.692,0.576,0.335,0.749
note_0104,0.773,0.863,0.54,0.757
note_0105,0.399,0.392,0.592,0.281
note_0106,0.603,0.572,0.843,0.559
note_0107,0.568,0.707,0.498,0.708
note_0108,0.524,0.552,0.291,0.37
note_0109,0.607,0.412,0.57,0.643
note_0110,0.509,0.18,0.312,0.524
note_0111,0.675,0.733,0.691,0.367
note_0112,0.354,0.14,0.474,0.622
note_0113,0.706,0.776,0.286,0.793
note_0114,0.548,0.421,0.835,0.652
note_0115,0.717,0.634,0.821,0.441
note_0116,0.691,0.847,0.602,0.75
note_0117,0.511,0.795,0.202,0.742
note_0118,0.644,0.77,0.771,0.292
note_0119,0.405,0.299,0.52,0.588
note_0120,0.468,0.389,0.815,0.06
note_0121,0.611,0.42,0.44,0.874
note_0122,0.553,0.591,0.665,0.361
note_0123,0.653,0.606,0.356,0.593
note_0124,0.616,0.806,0.853,0.394
note_0125,0.56,0.783,0.214,0.497
note_0126,0.535,0.324,0.147,0.704
note_0127,0.608,0.758,0.788,0.695
note_0128,0.39,0.573,0.9,0.435
note_0129,0.503,0.607,0.424,0.757
note_0130,0.662,0.708,0.634,0.69
note_0131,0.435,0.457,0.674,0.187
note_0132,0.567,0.603,0.904,0.517
note_0133,0.479,0.559,0.52,0.375
note_0134,0.546,0.7,0.548,0.744
note_0135,0.449,0.52,0.288,0.34
note_0136,0.522,0.557,0.671,0.438
note_0137,0.343,0.513,0.432,0.349
note_0138,0.413,0.577,0.082,0.421
note_0139,0.685,0.542,0.893,0.527
note_0140,0.581,0.849,0.47,0.751
note_0141,0.514,0.468,0.416,0.405
note_0142,0.74,0.692,0.741,0.773
note_0143,0.548,0.458,0.512,0.639
note_0144,0.41,0.14,0.582,0.513
note_0145,0.517,0.477,0.688,0.327
note_0146,0.601,0.869,0.816,0.633
note_0147,0.316,0.149,0.805,0.401
note_0148,0.668,0.928,0.513,0.376
note_0149,0.632,0.488,0.477,0.63
note_0150,0.667,0.479,0.633,0.552
note_0151,0.523,0.632,0.585,0.84
note_0152,0.689,0.414,0.809,0.876
note_0153,0.474,0.319,0.288,0.852
note_0154,0.491,0.432,0.626,0.386
note_0155,0.626,0.359,0.908,0.82
note_0156,0.594,0.547,0.556,0.696
note_0157,0.582,0.366,0.685,0.351
note_0158,0.513,0.244,0.653,0.585
note_0159,0.468,0.507,0.486,0.688
note_0160,0.4,0.392,0.239,0.507
note_0161,0.641,0.279,0.749,0.861
note_0162,0.585,0.895,0.604,0.392
note_0163,0.506,0.52,0.676,0.665
note_0164,0.557,0.737,0.496,0.708
